         871 function calls (854 primitive calls) in 0.013 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /var/folders/52/y7hxdy6x453211drrw02dllh0000gn/T/ipykernel_41140/3963380306.py:18(divide_fast)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:587(_schedule_in_thread)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:718(_validate)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/ioloop.py:604(call_later)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:3290(bind)
       29    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/enum.py:695(__call__)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/sugar/socket.py:774(recv_multipart)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/platform/asyncio.py:216(call_at)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:3148(_bind)
        8    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:676(__get__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:781(call_later)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:1512(_notify_trait)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:3474(validate)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/platform/asyncio.py:231(add_callback)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:1374(__instancecheck__)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:852(_call_soon)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/contextlib.py:303(helper)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:805(call_at)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:1523(notify_change)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/contextlib.py:136(__enter__)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:556(_run_callback)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:1665(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:306(__exit__)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/contextlib.py:145(__exit__)
