         696890 function calls (696876 primitive calls) in 0.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:176(SOF)
      504    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/ImageFile.py:583(_safe_read)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/ioloop.py:750(_run_callback)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:694(<lambda>)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:583(_handle_events)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:3290(bind)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:3148(_bind)
        3    0.000    0.000    0.000    0.000 {method 'convert' of 'ImagingCore' objects}
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:254(_conv_type_shape)
     1350    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:663(_rebuild_io_state)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/concurrent/futures/_base.py:537(set_result)
     2163    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      114    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/_util.py:9(is_path)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:449(_getencoder)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:276(<lambda>)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/codeop.py:113(__call__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:278(_really_send)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/posixpath.py:72(join)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/BmpImagePlugin.py:56(_dib_accept)
       13    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/sugar/socket.py:626(send)
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/sugar/attrsettr.py:43(__getattr__)
        1    0.000    0.000    0.000    0.000 {method 'execute' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:587(_schedule_in_thread)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/concurrent/futures/_base.py:337(_invoke_callbacks)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:686(_update_handler)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/futures.py:391(_call_set_state)
      225    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:885(load)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/sugar/socket.py:703(send_multipart)
